time,funding_rate
2020-02-10 08:00:00+00:00,0.0
2020-02-10 16:00:00.009000+00:00,0.00304635
2020-02-11 00:00:00+00:00,0.00161571
2020-02-11 08:00:00+00:00,0.00261274
2020-02-11 16:00:00+00:00,0.00155591
2020-02-12 00:00:00+00:00,0.00326618
2020-02-12 08:00:00.001000+00:00,0.00222329
2020-02-12 16:00:00+00:00,0.00123233
2020-02-13 00:00:00.001000+00:00,0.00066404
2020-02-13 08:00:00+00:00,0.00339783
2020-02-13 16:00:00+00:00,0.00051288
2020-02-14 00:00:00+00:00,0.0
2020-02-14 08:00:00+00:00,0.0008311
2020-02-14 16:00:00+00:00,0.00045706
2020-02-15 00:00:00+00:00,0.00205219
2020-02-15 08:00:00+00:00,0.00121877
2020-02-15 16:00:00+00:00,0.00231415
2020-02-16 00:00:00+00:00,0.0
2020-02-16 08:00:00+00:00,0.0
2020-02-16 16:00:00+00:00,0.0
2020-02-17 00:00:00+00:00,0.0
2020-02-17 08:00:00+00:00,0.0003025
2020-02-17 16:00:00+00:00,0.00110646
2020-02-18 00:00:00+00:00,7.369e-05
2020-02-18 08:00:00+00:00,0.0
2020-02-18 16:00:00+00:00,0.00017557
2020-02-19 00:00:00+00:00,2.421e-05
2020-02-19 08:00:00.001000+00:00,0.00137686
2020-02-19 16:00:00+00:00,0.0
2020-02-20 00:00:00.004000+00:00,0.00046778
2020-02-20 08:00:00+00:00,0.00072738
2020-02-20 16:00:00+00:00,0.00020171
2020-02-21 00:00:00+00:00,0.0
2020-02-21 08:00:00+00:00,0.0002414
2020-02-21 16:00:00+00:00,0.00042486
2020-02-22 00:00:00+00:00,0.00064889
2020-02-22 08:00:00.001000+00:00,0.00049596
2020-02-22 16:00:00+00:00,0.00052603
2020-02-23 00:00:00+00:00,0.00075795
2020-02-23 08:00:00+00:00,0.00081155
2020-02-23 16:00:00+00:00,0.00020372
2020-02-24 00:00:00.015000+00:00,0.00043004
2020-02-24 08:00:00+00:00,0.00015968
2020-02-24 16:00:00+00:00,0.00043662
2020-02-25 00:00:00.001000+00:00,0.00012455
2020-02-25 08:00:00+00:00,0.00030493
2020-02-25 16:00:00.001000+00:00,0.00031773
2020-02-26 00:00:00+00:00,0.00015623
2020-02-26 08:00:00.001000+00:00,0.00018209
2020-02-26 16:00:00+00:00,0.0
2020-02-27 00:00:00.001000+00:00,0.0
2020-02-27 08:00:00.001000+00:00,0.0
2020-02-27 16:00:00+00:00,0.0
2020-02-28 00:00:00+00:00,0.0
2020-02-28 08:00:00+00:00,0.0
2020-02-28 16:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-02-29 08:00:00+00:00,0.0
2020-02-29 16:00:00+00:00,0.00028972
2020-03-01 00:00:00+00:00,0.00019026
2020-03-01 08:00:00+00:00,0.00031743
2020-03-01 16:00:00.001000+00:00,0.00038074
2020-03-02 00:00:00+00:00,0.0
2020-03-02 08:00:00+00:00,0.0
2020-03-02 16:00:00.004000+00:00,0.0
2020-03-03 00:00:00+00:00,-1.823e-05
2020-03-03 08:00:00.003000+00:00,-0.00020427
2020-03-03 16:00:00+00:00,0.0
2020-03-04 00:00:00.002000+00:00,0.0
2020-03-04 08:00:00+00:00,0.0
2020-03-04 16:00:00.001000+00:00,-0.0006366
2020-03-05 00:00:00+00:00,0.0
2020-03-05 08:00:00+00:00,0.00016672
2020-03-05 16:00:00+00:00,3.555e-05
2020-03-06 00:00:00.003000+00:00,0.00072615
2020-03-06 08:00:00+00:00,6.931e-05
2020-03-06 16:00:00+00:00,0.00018643
2020-03-07 00:00:00+00:00,0.0
2020-03-07 08:00:00.001000+00:00,0.00099038
2020-03-07 16:00:00+00:00,0.00076374
2020-03-08 00:00:00.001000+00:00,0.00084351
2020-03-08 08:00:00+00:00,0.00050183
2020-03-08 16:00:00.006000+00:00,0.00066063
2020-03-09 00:00:00+00:00,0.00076211
2020-03-09 08:00:00+00:00,0.0
2020-03-09 16:00:00+00:00,0.0
2020-03-10 00:00:00+00:00,0.0
2020-03-10 08:00:00+00:00,0.0
2020-03-10 16:00:00+00:00,0.0
2020-03-11 00:00:00.001000+00:00,0.0
2020-03-11 08:00:00+00:00,0.0
2020-03-11 16:00:00+00:00,0.0
2020-03-12 00:00:00.001000+00:00,0.0
2020-03-12 08:00:00.001000+00:00,0.0
2020-03-12 16:00:00+00:00,-0.0004214
2020-03-13 00:00:00+00:00,1.447e-05
2020-03-13 08:00:00+00:00,-0.00584369
2020-03-13 16:00:00.002000+00:00,-0.00142512
2020-03-14 00:00:00+00:00,-3.866e-05
2020-03-14 08:00:00.001000+00:00,0.00138786
2020-03-14 16:00:00+00:00,0.00061685
2020-03-15 00:00:00+00:00,0.00031569
2020-03-15 08:00:00+00:00,0.0
2020-03-15 16:00:00.001000+00:00,0.00049659
2020-03-16 00:00:00+00:00,0.0
2020-03-16 08:00:00+00:00,0.0
2020-03-16 16:00:00.001000+00:00,-0.00025194
2020-03-17 00:00:00+00:00,0.0
2020-03-17 08:00:00+00:00,6.145e-05
2020-03-17 16:00:00+00:00,0.0
2020-03-18 00:00:00+00:00,0.0
2020-03-18 08:00:00+00:00,0.0
2020-03-18 16:00:00+00:00,0.0
2020-03-19 00:00:00+00:00,0.0
2020-03-19 08:00:00+00:00,0.0
2020-03-19 16:00:00+00:00,0.0
2020-03-20 00:00:00+00:00,0.0
2020-03-20 08:00:00+00:00,0.0
2020-03-20 16:00:00+00:00,3.196e-05
2020-03-21 00:00:00+00:00,0.0
2020-03-21 08:00:00+00:00,0.0
2020-03-21 16:00:00+00:00,0.0
2020-03-22 00:00:00+00:00,0.0
2020-03-22 08:00:00.001000+00:00,0.0
2020-03-22 16:00:00+00:00,0.0
2020-03-23 00:00:00+00:00,0.0
2020-03-23 08:00:00+00:00,0.0
2020-03-23 16:00:00+00:00,0.0
2020-03-24 00:00:00+00:00,0.0
2020-03-24 08:00:00+00:00,0.0
2020-03-24 16:00:00+00:00,0.0
2020-03-25 00:00:00+00:00,-0.00028381
2020-03-25 08:00:00+00:00,-0.00063857
2020-03-25 16:00:00.001000+00:00,-0.00116804
2020-03-26 00:00:00.006000+00:00,-0.00136474
2020-03-26 08:00:00.002000+00:00,-0.00101418
2020-03-26 16:00:00+00:00,0.0
